time,Mean Wind
1980-01-31,0.2106014896953405
1980-02-29,0.17584870689655172
1980-03-31,0.2569572916666667
1980-04-30,0.24090260416666667
1980-05-31,0.20335882616487452
1980-06-30,0.16712149305555554
1980-07-31,0.19659560931899644
1980-08-31,0.21704610215053766
1980-09-30,0.18839776620370371
1980-10-31,0.30977755376344085
1980-11-30,0.40200798611111105
1980-12-31,0.38923193324372757
1981-01-31,0.3098685595878136
1981-02-28,0.2491349330357143
1981-03-31,0.32166461693548387
1981-04-30,0.19453875
1981-05-31,0.1530816308243728
1981-06-30,0.23125561342592593
1981-07-31,0.15870262096774193
1981-08-31,0.13602786738351255
1981-09-30,0.18950822916666665
1981-10-31,0.3130794130824373
1981-11-30,0.3598673148148148
1981-12-31,0.2162871639784946
1982-01-31,0.24375889336917564
1982-02-28,0.21817072172619045
1982-03-31,0.3039797043010753
1982-04-30,0.2412538078703704
1982-05-31,0.15902498879928317
1982-06-30,0.1568696875
1982-07-31,0.16188183243727597
1982-08-31,0.21681319444444444
1982-09-30,0.16669657407407404
1982-10-31,0.19536528897849467
1982-11-30,0.3696707638888889
1982-12-31,0.3331234655017921
1983-01-31,0.5205820004480287
1983-02-28,0.2638070188492063
1983-03-31,0.2814887432795699
1983-04-30,0.208909837962963
1983-05-31,0.21114004256272403
1983-06-30,0.17521943287037034
1983-07-31,0.10273905689964158
1983-08-31,0.14733270609318996
1983-09-30,0.3327926041666666
1983-10-31,0.3623612343189964
1983-11-30,0.2140591087962963
1983-12-31,0.33426314964157705
1984-01-31,0.4578352934587815
1984-02-29,0.2773586805555555
1984-03-31,0.1933526097670251
1984-04-30,0.1327004513888889
1984-05-31,0.16828695116487455
1984-06-30,0.18574994212962959
1984-07-31,0.15703287410394265
1984-08-31,0.11904863351254481
1984-09-30,0.22937798611111113
1984-10-31,0.2863012320788531
1984-11-30,0.283374212962963
1984-12-31,0.22131903001792116
1985-01-31,0.2502886312724015
1985-02-28,0.2113395337301587
1985-03-31,0.20600140008960574
1985-04-30,0.29069681712962964
1985-05-31,0.1776472334229391
1985-06-30,0.18990555555555555
1985-07-31,0.18437096774193548
1985-08-31,0.22813980734767025
1985-09-30,0.22075229166666666
1985-10-31,0.16550600358422937
1985-11-30,0.28099958333333336
1985-12-31,0.32668876568100363
1986-01-31,0.4247068772401434
1986-02-28,0.27685788690476193
1986-03-31,0.2853240591397849
1986-04-30,0.19513913194444443
1986-05-31,0.21395164650537635
1986-06-30,0.18810275462962964
1986-07-31,0.1393214157706093
1986-08-31,0.20022519041218634
1986-09-30,0.16298351851851853
1986-10-31,0.2672756608422939
1986-11-30,0.35367302083333335
1986-12-31,0.4071415770609319
1987-01-31,0.24397581765232979
1987-02-28,0.206509871031746
1987-03-31,0.278841935483871
1987-04-30,0.1723317361111111
1987-05-31,0.22318631272401435
1987-06-30,0.16146164351851852
1987-07-31,0.16359097222222221
1987-08-31,0.16528511424731182
1987-09-30,0.18717988425925927
1987-10-31,0.2930732190860215
1987-11-30,0.23116920138888894
1987-12-31,0.24319619175627238
1988-01-31,0.374573980734767
1988-02-29,0.45321235632183904
1988-03-31,0.2878413082437276
1988-04-30,0.17582826388888886
1988-05-31,0.2076625672043011
1988-06-30,0.1418561226851852
1988-07-31,0.24211699148745516
1988-08-31,0.18405861335125448
1988-09-30,0.2799525694444444
1988-10-31,0.2528167338709677
1988-11-30,0.21314511574074071
1988-12-31,0.34058405017921145
1989-01-31,0.2266582549283154
1989-02-28,0.36737141617063496
1989-03-31,0.3265694444444444
1989-04-30,0.2266979861111111
1989-05-31,0.16671094310035842
1989-06-30,0.11309064814814813
1989-07-31,0.1720231966845878
1989-08-31,0.16834984318996415
1989-09-30,0.15333239583333333
1989-10-31,0.3125694444444445
1989-11-30,0.2275455324074074
1989-12-31,0.2574177195340502
1990-01-31,0.40721571460573475
1990-02-28,0.5389201264880952
1990-03-31,0.34782908826164877
1990-04-30,0.23149163194444444
1990-05-31,0.1160717517921147
1990-06-30,0.14831056712962964
1990-07-31,0.20751729390681004
1990-08-31,0.15125484991039426
1990-09-30,0.23400361111111112
1990-10-31,0.319624708781362
1990-11-30,0.21325636574074072
1990-12-31,0.33895959901433687
1991-01-31,0.3301756608422939
1991-02-28,0.21695735367063493
1991-03-31,0.19434756944444442
1991-04-30,0.24702592592592595
1991-05-31,0.1774752688172043
1991-06-30,0.25381422453703706
1991-07-31,0.17897750896057352
1991-08-31,0.13861033826164876
1991-09-30,0.17425377314814813
1991-10-31,0.23499983198924732
1991-11-30,0.3100337268518518
1991-12-31,0.2714743503584229
1992-01-31,0.24838870967741936
1992-02-29,0.2628327586206896
1992-03-31,0.3229463037634409
1992-04-30,0.23814010416666664
1992-05-31,0.21963874327956986
1992-06-30,0.14672648148148146
1992-07-31,0.1494811715949821
1992-08-31,0.25006672267025093
1992-09-30,0.22659952546296294
1992-10-31,0.25371476254480285
1992-11-30,0.3938038310185185
1992-12-31,0.23915103046594985
1993-01-31,0.47564679659498216
1993-02-28,0.19275251736111113
1993-03-31,0.23730350582437273
1993-04-30,0.19992172453703702
1993-05-31,0.20899584453405018
1993-06-30,0.1444754398148148
1993-07-31,0.20341896281362007
1993-08-31,0.18466299283154122
1993-09-30,0.18399131944444444
1993-10-31,0.2361466733870968
1993-11-30,0.19952458333333334
1993-12-31,0.41690365143369174
1994-01-31,0.4137970990143369
1994-02-28,0.21864366319444448
1994-03-31,0.42160291218637996
1994-04-30,0.2356018171296296
1994-05-31,0.15687571684587812
1994-06-30,0.20980276620370372
1994-07-31,0.09576518817204303
