NL_mean,month
0.2106014896953405,1
0.17584870689655174,2
0.2569572916666667,3
0.24090260416666667,4
0.20335882616487458,5
0.16712149305555554,6
0.19659560931899644,7
0.21704610215053766,8
0.18839776620370366,9
0.30977755376344085,10
0.40200798611111105,11
0.38923193324372757,12
0.3098685595878136,1
0.2491349330357143,2
0.3216646169354839,3
0.19453874999999998,4
0.1530816308243728,5
0.23125561342592593,6
0.15870262096774193,7
0.13602786738351255,8
0.18950822916666665,9
0.3130794130824373,10
0.3598673148148148,11
0.2162871639784946,12
0.24375889336917564,1
0.21817072172619045,2
0.3039797043010753,3
0.2412538078703704,4
0.15902498879928315,5
0.1568696875,6
0.16188183243727597,7
0.21681319444444444,8
0.16669657407407404,9
0.19536528897849467,10
0.3696707638888889,11
0.3331234655017921,12
0.5205820004480287,1
0.2638070188492063,2
0.2814887432795699,3
0.20890983796296295,4
0.21114004256272403,5
0.17521943287037037,6
0.10273905689964158,7
0.14733270609318996,8
0.3327926041666666,9
0.3623612343189964,10
0.2140591087962963,11
0.33426314964157705,12
0.4578352934587815,1
0.2773586805555555,2
0.1933526097670251,3
0.1327004513888889,4
0.16828695116487455,5
0.1857499421296296,6
0.15703287410394265,7
0.11904863351254481,8
0.22937798611111113,9
0.286301232078853,10
0.283374212962963,11
0.22131903001792116,12
0.2502886312724014,1
0.2113395337301587,2
0.20600140008960574,3
0.29069681712962964,4
0.1776472334229391,5
0.18990555555555555,6
0.1843709677419355,7
0.22813980734767025,8
0.22075229166666666,9
0.16550600358422937,10
0.28099958333333336,11
0.32668876568100363,12
0.4247068772401434,1
0.27685788690476193,2
0.2853240591397849,3
0.19513913194444443,4
0.21395164650537635,5
0.18810275462962964,6
0.1393214157706093,7
0.20022519041218634,8
0.16298351851851856,9
0.2672756608422939,10
0.3536730208333334,11
0.4071415770609319,12
0.24397581765232979,1
0.206509871031746,2
0.278841935483871,3
0.1723317361111111,4
0.22318631272401426,5
0.16146164351851852,6
0.16359097222222221,7
0.16528511424731182,8
0.18717988425925927,9
0.2930732190860215,10
0.23116920138888894,11
0.24319619175627238,12
0.374573980734767,1
0.45321235632183904,2
0.2878413082437276,3
0.17582826388888892,4
0.20766256720430107,5
0.14185612268518522,6
0.24211699148745525,7
